S_time,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
3565775,3,46,32,10001,2,40,29,1472
3566023,3,46,32,10002,2,40,29,1472
3566371,5,50,32,10003,2,40,29,1600
3566603,4,45,32,10004,2,40,29,1440
3566852,3,8172,128,10005,2,160,116,1046016
3567043,3,3778,64,10006,2,80,58,241792
3567069,4,58,32,10007,2,40,29,1856
3567070,0,29,64,10008,2,80,58,1856
3567084,2,78,32,10009,2,40,29,2496
3567290,3,46,32,10010,2,40,29,1472
3567511,3,46,32,10011,2,40,29,1472
3567829,4,47,32,10012,2,40,29,1504
3567904,3,2917,32,10013,2,40,29,93344
3568491,6,79,32,10014,2,40,29,2528
3568502,25784,386,128,10015,2,160,116,49408
3568708,6,126,32,10016,2,40,29,4032
3568764,4,53,32,10017,2,40,29,1696
3568955,5,995,32,10018,2,40,29,31840
3568975,3,47,32,10019,2,40,29,1504
3569051,4,217,32,10020,2,40,29,6944
3569101,3,478,32,10021,2,40,29,15296
3569143,3,77,32,10022,2,40,29,2464
3569528,4,3655,32,10023,2,40,29,116960
3569539,3,498,32,10024,2,40,29,15936
3569595,2,72677,64,10025,2,80,58,4651328
3569709,3,6253,128,10026,1,128,128,800384
3569926,8,35,32,10027,2,40,29,1120
3570115,3,5697,64,10028,1,64,64,364608
3570138,3,32,32,10029,2,40,29,1024
3570159,3,228,32,10030,2,40,29,7296
3570236,3,1221,256,10031,1,256,256,312576
3570256,3,33,32,10032,2,40,29,1056
3570454,3,45,32,10033,2,40,29,1440
3570595,4,48,64,10034,1,64,64,3072
3570671,4,30,32,10035,2,40,29,960
3570717,4,438,32,10036,2,40,29,14016
3570757,3,6061,64,10037,2,80,58,387904
3570857,5,222,64,10038,1,64,64,14208
3570938,4,38,32,10039,2,40,29,1216
3571016,2,38,64,10040,1,64,64,2432
3571163,3,34,32,10041,2,40,29,1088
3571431,4,50,32,10042,2,40,29,1600
3571443,10,199,32,10043,2,40,29,6368
3571498,4,169,32,10044,2,40,29,5408
3571598,4,613,32,10045,2,40,29,19616
3571608,3,51,32,10046,2,40,29,1632
3571841,4,616,32,10047,2,40,29,19712
3571903,4,2580,32,10048,2,40,29,82560
3571940,4,1539,32,10049,2,40,29,49248
3572109,7,43,64,10050,2,80,58,2752
3572184,5,44,32,10051,2,40,29,1408
3572512,5,456,32,10052,2,40,29,14592
3572604,9,90,32,10053,2,40,29,2880
3572705,3,38,64,10054,2,80,58,2432
3572996,5,1315,256,10055,2,320,231,336640
3573166,4,436,32,10056,2,40,29,13952
3573191,4,568,32,10057,2,40,29,18176
3573206,4,81,32,10058,2,40,29,2592
3573213,3,43,64,10059,2,80,58,2752
3573609,15,3696,128,10060,2,160,116,473088
3573632,4,168,32,10061,2,40,29,5376
3573808,4,38,64,10062,2,80,58,2432
3574167,4,365,32,10063,2,40,29,11680
3574391,4,53,32,10064,2,40,29,1696
3574452,5,1231,32,10065,2,40,29,39392
3574507,3,933,64,10066,2,80,58,59712
3574531,498,5524,128,10067,2,160,116,707072
3574578,3,31,64,10068,2,80,58,1984
3574642,3,1768,256,10069,2,320,231,452608
3574657,7,491,32,10070,2,40,29,15712
3574886,5,78,32,10071,2,40,29,2496
3575076,3,36,64,10072,2,80,58,2304
3575211,755,9337,128,10073,2,160,116,1195136
3575216,5,53,32,10074,2,40,29,1696
3575341,5,392,32,10075,2,40,29,12544
3575428,7,80,32,10076,2,40,29,2560
3575505,6,590,32,10077,2,40,29,18880
3575667,5,41,64,10078,1,64,64,2624
3575775,2,16,64,10079,2,80,58,1024
3575821,4,217,64,10080,2,80,58,13888
3575830,3,848,64,10081,2,80,58,54272
3575836,4,1577,64,10082,2,80,58,100928
3575909,8,54,32,10083,2,40,29,1728
3575945,147,6500,128,10084,2,160,116,832000
3576062,4,66210,64,10085,2,80,58,4237440
3576082,4,429,32,10086,2,40,29,13728
3576431,10,4978,512,10087,2,640,461,2548736
3576527,5,52,32,10088,2,40,29,1664
3576684,13803,164,512,10089,2,640,461,83968
3576753,7,445,32,10090,2,40,29,14240
3576801,3,14803,64,10091,2,80,58,947392
3576818,5,10313,64,10092,1,64,64,660032
3576918,5,15,32,10093,2,40,29,480
3577331,88,83,64,10094,2,80,58,5312
3577337,6,1409,32,10095,2,40,29,45088
3577655,4,51,32,10096,2,40,29,1632
3577680,5,134,32,10097,2,40,29,4288
3577823,9,1482,32,10098,2,40,29,47424
3577892,2665,279,128,10099,2,160,116,35712
3578037,7,3444,32,10100,2,40,29,110208
3578049,6,622,32,10101,2,40,29,19904
3578170,3,2475,64,10102,2,80,58,158400
3578485,2935,9041,512,10103,2,640,461,4628992
3578601,4,92,32,10104,2,40,29,2944
3578706,8,2699,32,10105,2,40,29,86368
3578926,5,85,32,10106,2,40,29,2720
3579183,6,91,32,10107,2,40,29,2912
3579222,3,9585,256,10108,2,320,231,2453760
3579571,4,44,32,10109,2,40,29,1408
3579663,3,69,32,10110,2,40,29,2208
3579814,5,2466,32,10111,2,40,29,78912
3579913,4,80,32,10112,2,40,29,2560
3580158,3,473,32,10113,2,40,29,15136
3580594,5,82,32,10114,2,40,29,2624
3580665,3,51,32,10115,2,40,29,1632
3580702,7,61564,64,10116,2,80,58,3940096
3580713,9940,953,512,10117,2,640,461,487936
3580837,11,72,32,10118,2,40,29,2304
3581048,15,46,32,10119,2,40,29,1472
3581201,11,49,32,10120,2,40,29,1568
3581504,5,46,32,10121,2,40,29,1472
3581532,4,657,32,10122,2,40,29,21024
3581800,8664,21,512,10123,2,640,461,10752
3581826,6,3035,32,10124,2,40,29,97120
3581939,14,92,32,10125,2,40,29,2944
3582434,14,190,32,10126,2,40,29,6080
3582515,13,8122,128,10127,2,160,116,1039616
3582826,29,1132,128,10128,2,160,116,144896
3583549,10,38,128,10129,2,160,116,4864
3583604,5,240,32,10130,2,40,29,7680
3583613,4,48,128,10131,2,160,116,6144
3583970,4,90,32,10132,2,40,29,2880
3584058,8,293,32,10133,2,40,29,9376
3584169,4,1053,128,10134,2,160,116,134784
3584361,3,1137,128,10135,2,160,116,145536
3584464,5,110,32,10136,2,40,29,3520
3585212,10,172,32,10137,2,40,29,5504
3585247,3,148,128,10138,2,160,116,18944
3585331,5,116,32,10139,2,40,29,3712
3585378,5,117,128,10140,2,160,116,14976
3585513,5,7574,128,10141,2,160,116,969472
3585966,7,1517,32,10142,2,40,29,48544
3585994,4,113,128,10143,2,160,116,14464
3586118,3,2472,128,10144,2,160,116,316416
3586232,4,681,32,10145,2,40,29,21792
3587535,8,667,32,10146,2,40,29,21344
3589368,3,1057,64,10147,2,80,58,67648
3590260,3,304,32,10148,2,40,29,9728
3590644,41759,418,128,10149,2,160,116,53504
3591117,4,75,32,10150,2,40,29,2400
3591594,3,50678,64,10151,2,80,58,3243392
3591801,4,50469,64,10152,2,80,58,3230016
3591887,5,1144,32,10153,2,40,29,36608
3593085,39324,14101,128,10154,2,160,116,1804928
3593469,3,681,512,10155,2,640,461,348672
3593825,11,1374,32,10156,2,40,29,43968
3594527,10,568,32,10157,2,40,29,18176
3595538,3,50970,128,10158,2,160,116,6524160
3596989,5,130,32,10159,2,40,29,4160
3600678,31741,14091,128,10160,2,160,116,1803648
3605210,9,3838,32,10161,2,40,29,122816
3611226,13,6393,32,10162,2,40,29,204576
3630244,12,941,512,10163,2,640,461,481792
3634245,11,220,512,10164,2,640,461,112640
3636949,9897,22,512,10165,2,640,461,11264
3638215,37391,20,128,10166,2,160,116,2560
3638998,3367,1532,32,10167,2,40,29,49024
3642379,4,49,32,10168,2,40,29,1568
3642407,4,308,32,10169,2,40,29,9856
3642609,6,191,32,10170,2,40,29,6112
3643119,14,47,32,10171,2,40,29,1504
3643307,3,314,64,10172,2,80,58,20096
3643512,7,115,32,10173,2,40,29,3680
3643877,2933,5992,32,10174,2,40,29,191744
3643879,2937,3925,32,10175,2,40,29,125600
3645319,1502,552,128,10176,2,160,116,70656
3645672,1153,2547,128,10177,2,160,116,326016
3646244,593,46,32,10178,2,40,29,1472
3647029,3,2311,128,10179,2,160,116,295808
3647241,4,961,32,10180,2,40,29,30752
3647525,8,7033,32,10181,2,40,29,225056
3647562,2,1386,64,10182,2,80,58,88704
3647572,2,13659,64,10183,2,80,58,874176
3647594,3,398,32,10184,2,40,29,12736
3648211,9,1204,32,10185,2,40,29,38528
3648354,12,131,32,10186,2,40,29,4192
3648822,11,117,32,10187,2,40,29,3744
3648883,4,64,32,10188,2,40,29,2048
3649163,13,126,32,10189,2,40,29,4032
3649187,3,21984,64,10190,2,80,58,1406976
3649386,4,114,32,10191,2,40,29,3648
3649397,6,72,256,10192,2,320,231,18432
3649484,2,1931,512,10193,2,640,461,988672
3649662,4,374,128,10194,2,160,116,47872
3649791,7,49,32,10195,2,40,29,1568
3649823,3,5839,128,10196,2,160,116,747392
3650054,1365,26,512,10197,2,640,461,13312
3650068,4,46,32,10198,2,40,29,1472
3650205,3,9134,128,10199,2,160,116,1169152
3650252,25376,117,128,10200,2,160,116,14976
3650371,6,45,32,10201,2,40,29,1440
3650444,4,8466,128,10202,2,160,116,1083648
3650553,6,45,32,10203,2,40,29,1440
3650744,3,547,32,10204,1,32,32,17504
3651140,290,13,32,10205,2,40,29,416
3651446,3,15596,128,10206,2,160,116,1996288
3651472,4,44,32,10207,2,40,29,1408
3651535,8,1502,512,10208,2,640,461,769024
3651697,5,23,128,10209,2,160,116,2944
3651748,4,47,32,10210,2,40,29,1504
3652007,2,2557,256,10211,1,256,256,654592
3652078,4,13,32,10212,2,40,29,416
3652159,3,45,32,10213,2,40,29,1440
3652191,3,847,32,10214,2,40,29,27104
3652366,4,46,32,10215,2,40,29,1472
3652449,6,8647,64,10216,2,80,58,553408
3652943,8,49,32,10217,2,40,29,1568
3653058,3,326,128,10218,2,160,116,41728
3653167,3,47,32,10219,2,40,29,1504
3653254,4,13053,32,10220,2,40,29,417696
3653326,3,647,32,10221,2,40,29,20704
3653336,3,66,32,10222,2,40,29,2112
3653344,2,1779,32,10223,2,40,29,56928
3653359,3,295,32,10224,2,40,29,9440
3653506,5,469,512,10225,2,640,461,240128
3653553,5,1124,32,10226,2,40,29,35968
3653681,8,1092,32,10227,2,40,29,34944
3654277,18,67,32,10228,2,40,29,2144
3654408,3,936,512,10229,2,640,461,479232
3654618,11,1602,32,10230,2,40,29,51264
3654684,0,968,32,10231,2,40,29,30976
3655538,10,334,32,10232,2,40,29,10688
3655600,3,1742,32,10233,2,40,29,55744
3655687,6,812,256,10234,1,256,256,207872
3656179,7,27,32,10235,1,32,32,864
3656224,5,24,32,10236,2,40,29,768
3656247,3,4384,32,10237,2,40,29,140288
3656283,3,125,32,10238,2,40,29,4000
3656453,4,472,32,10239,2,40,29,15104
3656464,2,57,32,10240,2,40,29,1824
3656524,3,49,512,10241,1,512,512,25088
3656543,4,28,32,10242,2,40,29,896
3656572,5,585,512,10243,2,640,461,299520
3656598,4,56,32,10244,2,40,29,1792
3656701,4,241,128,10245,2,160,116,30848
3656713,3,60,32,10246,1,32,32,1920
3656718,6,18,32,10247,2,40,29,576
3656789,2,63,32,10248,2,40,29,2016
3656859,3,504,32,10249,2,40,29,16128
3656874,3,3042,64,10250,2,80,58,194688
3656886,4,82,32,10251,2,40,29,2624
3656982,3,76,32,10252,2,40,29,2432
3657091,5,76,32,10253,2,40,29,2432
3657129,5,2402,32,10254,2,40,29,76864
3657154,3,66,32,10255,2,40,29,2112
3657184,2,46,32,10256,2,40,29,1472
3657247,3,422,128,10257,2,160,116,54016
3657255,3,42,32,10258,2,40,29,1344
3657260,4,520,512,10259,2,640,461,266240
3657375,5,428,32,10260,2,40,29,13696
3657433,4,94,32,10261,2,40,29,3008
3657663,5,90,32,10262,2,40,29,2880
3657670,4,4050,256,10263,2,320,231,1036800
3657693,3,146,32,10264,2,40,29,4672
3657774,3,98,32,10265,2,40,29,3136
3659269,9,7311,128,10266,2,160,116,935808
3660235,18,302,128,10267,2,160,116,38656
3660439,4,796,32,10268,2,40,29,25472
3660513,4,3858,32,10269,2,40,29,123456
3660581,5,856,32,10270,2,40,29,27392
3660608,3,3689,32,10271,1,32,32,118048
3660617,19,14,32,10272,1,32,32,448
3660719,5,12,32,10273,2,40,29,384
3660726,4,4800,128,10274,2,160,116,614400
3661016,7,1142,32,10275,2,40,29,36544
3661047,4,7337,64,10276,2,80,58,469568
3661096,8,1384,512,10277,2,640,461,708608
3661335,4,584,32,10278,2,40,29,18688
3661344,5,176,128,10279,2,160,116,22528
3661448,0,118,32,10280,2,40,29,3776
3661453,1051,3641,512,10281,2,640,461,1864192
3661912,14,1338,32,10282,2,40,29,42816
3662019,9,384,32,10283,2,40,29,12288
3662069,3,21699,64,10284,2,80,58,1388736
3662535,5,2118,64,10285,2,80,58,135552
3662622,8,316,128,10286,2,160,116,40448
3663164,3,7775,256,10287,2,320,231,1990400
3663220,4,1825,32,10288,2,40,29,58400
3663340,9,86,128,10289,2,160,116,11008
3663413,25,3765,128,10290,2,160,116,481920
3663559,2589,1155,512,10291,2,640,461,591360
3663692,1841,170,128,10292,2,160,116,21760
3664330,32,227,32,10293,2,40,29,7264
3664408,9,1113,32,10294,2,40,29,35616
3664618,42,19110,64,10295,2,80,58,1223040
3664635,11112,55,128,10296,2,160,116,7040
3664912,11,1452,32,10297,2,40,29,46464
3665448,9,352,32,10298,2,40,29,11264
3665685,19,576,128,10299,2,160,116,73728
3665893,3,182,32,10300,2,40,29,5824
3666198,4,601,32,10301,2,40,29,19232
3666254,8,388,32,10302,2,40,29,12416
3666377,3,288,128,10303,2,160,116,36864
3666562,28,8101,128,10304,2,160,116,1036928
3666679,4,3274,32,10305,1,32,32,104768
3666799,17335,12,32,10306,2,40,29,384
3666819,3,160,128,10307,2,160,116,20480
3667068,4,6185,128,10308,1,128,128,791680
3667437,4,15,32,10309,2,40,29,480
3667503,4,155,512,10310,2,640,461,79360
3667613,6,567,32,10311,2,40,29,18144
3667717,7904,123,256,10312,2,320,231,31488
3667890,12,55,32,10313,2,40,29,1760
3668272,10,591,128,10314,2,160,116,75648
3668305,4,143,32,10315,2,40,29,4576
3668358,4,15408,64,10316,2,80,58,986112
3668503,3,2179,32,10317,2,40,29,69728
3668593,3,476,32,10318,2,40,29,15232
3669520,10,507,32,10319,2,40,29,16224
3670051,5,53,128,10320,2,160,116,6784
3670337,4,328,32,10321,2,40,29,10496
3670659,4,59,64,10322,2,80,58,3776
3671071,3,62,64,10323,2,80,58,3968
3671257,2,46,64,10324,2,80,58,2944
3671595,3,53,64,10325,2,80,58,3392
3671755,2,12015,64,10326,2,80,58,768960
3671772,2,11997,64,10327,2,80,58,767808
3671839,105,48,32,10328,1,32,32,1536
3672154,4,34,32,10329,1,32,32,1088
3672199,3,19,32,10330,1,32,32,608
3672283,3,35,32,10331,1,32,32,1120
3672445,3,33,32,10332,1,32,32,1056
3672529,3,28,32,10333,2,40,29,896
3672982,10,346,128,10334,2,160,116,44288
3673742,10,88,32,10335,2,40,29,2816
3674054,5,9770,32,10336,2,40,29,312640
3675452,159,8269,32,10337,1,32,32,264608
3676617,7478,37,32,10338,2,40,29,1184
3686628,4,2558,64,10339,2,80,58,163712
3686841,2,14422,32,10340,2,40,29,461504
3688415,35,3685,64,10341,2,80,58,235840
3688492,12,13577,64,10342,2,80,58,868928
3689945,11,772,128,10343,2,160,116,98816
3689986,28845,2723,128,10344,2,160,116,348544
3691731,3,402,64,10345,2,80,58,25728
3711726,11,2335,64,10346,2,80,58,149440
3714003,6,2257,64,10347,2,80,58,144448
3715497,3,91,32,10348,1,32,32,2912
3715715,2,30,32,10349,1,32,32,960
3715787,2,28,32,10350,2,40,29,896
3715870,4,133,32,10351,1,32,32,4256
3716030,2,33,32,10352,1,32,32,1056
3716170,4,26,32,10353,1,32,32,832
3716234,2,32,32,10354,2,40,29,1024
3716244,2,2284,64,10355,1,64,64,146176
3716302,2,26,32,10356,1,32,32,832
3716354,2,26,32,10357,2,40,29,832
3716444,2,78,32,10358,2,40,29,2496
3718461,5,2351,64,10359,2,80,58,150464
3719707,7,127,128,10360,2,160,116,16256
3720388,7,1249,512,10361,2,640,461,639488
3720648,3,6492,64,10362,2,80,58,415488
3720660,2,6245,64,10363,2,80,58,399680
3720750,3,131,128,10364,2,160,116,16768
3720783,3,2410,64,10365,2,80,58,154240
3722262,11,84,128,10366,2,160,116,10752
3722783,13,1085,512,10367,2,640,461,555520
3722819,26,367,64,10368,2,80,58,23488
3723060,3,658,32,10369,2,40,29,21056
3723131,2,3201,64,10370,2,80,58,204864
3723397,9,1388,128,10371,2,160,116,177664
3724769,11,342,64,10372,2,80,58,21888
3724828,2,10792,128,10373,2,160,116,1381376
3724857,3,3925,128,10374,2,160,116,502400
3724959,164,163,64,10375,2,80,58,10432
3725102,26,96,32,10376,2,40,29,3072
3725270,4,252,32,10377,2,40,29,8064
3725343,4,1048,512,10378,2,640,461,536576
3725613,3,177,32,10379,2,40,29,5664
3725867,3,2491,128,10380,2,160,116,318848
3725956,16,376,32,10381,2,40,29,12032
3725977,4,945,256,10382,2,320,231,241920
3726123,4,46,32,10383,1,32,32,1472
3726196,2,21,32,10384,2,40,29,672
3726224,2,79,64,10385,2,80,58,5056
3726305,3,2720,64,10386,2,80,58,174080
3726472,7,61,32,10387,1,32,32,1952
3726486,3,27,32,10388,1,32,32,864
3726666,10,32,32,10389,2,40,29,1024
3726752,3,379,32,10390,1,32,32,12128
3726884,26,25,32,10391,2,40,29,800
3726928,3,819,128,10392,2,160,116,104832
3726971,3,2956,32,10393,2,40,29,94592
3727017,3,488,32,10394,2,40,29,15616
3727079,4,1073,512,10395,2,640,461,549376
3727225,5,2887,128,10396,2,160,116,369536
3727403,4,113,32,10397,2,40,29,3616
3727605,3,134,32,10398,2,40,29,4288
3727645,3,53,32,10399,1,32,32,1696
3727745,3,30,32,10400,2,40,29,960
3728127,4,390,64,10401,2,80,58,24960
3728793,10,152,256,10402,2,320,231,38912
3728854,3,1466,32,10403,2,40,29,46912
3728964,3,31,512,10404,2,640,461,15872
3729004,3,2784,64,10405,2,80,58,178176
3729141,10,90,512,10406,2,640,461,46080
3729252,4,739,32,10407,2,40,29,23648
3729288,3,12595,128,10408,2,160,116,1612160
3729379,2,962,128,10409,2,160,116,123136
3729479,4,709,32,10410,2,40,29,22688
3729502,32458,11279,128,10411,2,160,116,1443712
3729887,5,14924,128,10412,2,160,116,1910272
3729960,3,67,32,10413,2,40,29,2144
3730109,9,548,128,10414,2,160,116,70144
3730121,3,1282,32,10415,2,40,29,41024
3730173,3,677,32,10416,2,40,29,21664
3730215,2,808,128,10417,2,160,116,103424
3730265,4,42,32,10418,2,40,29,1344
3730581,21,2223,256,10419,2,320,231,569088
3730624,2,1332,128,10420,2,160,116,170496
3730760,6,1024,32,10421,2,40,29,32768
3730855,4,83,32,10422,2,40,29,2656
3730867,3,82,32,10423,1,32,32,2624
3730925,21,31,32,10424,2,40,29,992
3730974,5,45,32,10425,2,40,29,1440
3731019,7,65,128,10426,1,128,128,8320
3731249,5,29,32,10427,1,32,32,928
3731264,3,13,32,10428,1,32,32,416
3731381,3,30,32,10429,2,40,29,960
3731405,3,38,32,10430,2,40,29,1216
3731422,3,582,32,10431,2,40,29,18624
3731433,2,2540,32,10432,1,32,32,81280
3731590,5,14,32,10433,1,32,32,448
3731690,2,28,32,10434,2,40,29,896
3731738,3,2445,64,10435,2,80,58,156480
3731825,4,62,32,10436,1,32,32,1984
3731911,4,16,32,10437,2,40,29,512
3731923,4,2661,512,10438,2,640,461,1362432
3732014,3,506,32,10439,2,40,29,16192
3732026,3,520,32,10440,2,40,29,16640
3732102,3,94,32,10441,2,40,29,3008
3732332,3,96,32,10442,2,40,29,3072
3732518,27,68,32,10443,2,40,29,2176
3732549,4,39,32,10444,2,40,29,1248
3732560,3,54,32,10445,2,40,29,1728
3732570,7,501,32,10446,1,32,32,16032
3732590,4,36,32,10447,2,40,29,1152
3732624,3,1053,32,10448,1,32,32,33696
3732646,3,27,32,10449,2,40,29,864
3732660,3,196,32,10450,1,32,32,6272
3732922,3,25,32,10451,2,40,29,800
3732952,2,1015,128,10452,1,128,128,129920
3732969,3,25,32,10453,1,32,32,800
3733004,3,35,32,10454,1,32,32,1120
3733011,3,13,32,10455,2,40,29,416
3733108,3,8138,128,10456,1,128,128,1041664
3733195,4,30,32,10457,1,32,32,960
3733246,4,34,32,10458,1,32,32,1088
3733362,4,32,32,10459,2,40,29,1024
3733368,4,145,32,10460,2,40,29,4640
3733422,548,59,128,10461,2,160,116,7552
3733446,4,46,32,10462,1,32,32,1472
3733572,11,16,32,10463,2,40,29,512
3733600,4,654,32,10464,2,40,29,20928
3733634,4,249,32,10465,2,40,29,7968
3733693,3,7091,64,10466,1,64,64,453824
3733841,7,37,32,10467,2,40,29,1184
3734017,3,7236,128,10468,1,128,128,926208
3734055,6,29,32,10469,2,40,29,928
3734071,519,1057,512,10470,1,512,512,541184
3734148,4,33,32,10471,2,40,29,1056
3734176,4,5153,64,10472,1,64,64,329792
3734215,4,23,32,10473,1,32,32,736
3734222,4,32,32,10474,1,32,32,1024
3734308,4,15,32,10475,1,32,32,480
3734321,3,24,32,10476,2,40,29,768
3734342,2,436,32,10477,1,32,32,13952
3734369,3,25,32,10478,1,32,32,800
3734401,4,23,32,10479,2,40,29,736
3734564,3,776,128,10480,1,128,128,99328
3734661,46,15,32,10481,2,40,29,480
3734757,7,556,32,10482,1,32,32,17792
3734767,3,15,32,10483,2,40,29,480
3734862,5,219,32,10484,2,40,29,7008
3734910,5,50,32,10485,2,40,29,1600
3734919,2,564,32,10486,2,40,29,18048
3734977,5,1771,32,10487,2,40,29,56672
3734985,2,52,32,10488,2,40,29,1664
3735034,7,3525,32,10489,2,40,29,112800
3735074,14,1944,32,10490,2,40,29,62208
3735205,3,276,32,10491,2,40,29,8832
3735344,3,183,64,10492,2,80,58,11712
3735442,5,2209,32,10493,1,32,32,70688
3735514,3,28,32,10494,1,32,32,896
3735592,5,25,32,10495,2,40,29,800
3735600,24,14625,128,10496,2,160,116,1872000
3735605,146,10430,128,10497,1,128,128,1335040
3735627,5,25,32,10498,2,40,29,800
3735634,2,755,64,10499,1,64,64,48320
3735638,3,21,32,10500,2,40,29,672
3735654,5,565,32,10501,1,32,32,18080
3735726,3,21,32,10502,1,32,32,672
3735790,4,10,32,10503,2,40,29,320
3735809,4,71,32,10504,2,40,29,2272
3735821,3,1746,32,10505,2,40,29,55872
3735925,6,86,32,10506,2,40,29,2752
3735955,3,53,32,10507,2,40,29,1696
3735960,4,108,32,10508,2,40,29,3456
3736085,4,70,32,10509,2,40,29,2240
3736092,2,119,32,10510,1,32,32,3808
3736252,4,30,32,10511,2,40,29,960
3736424,4,676,32,10512,1,32,32,21632
3736433,3,37,32,10513,2,40,29,1184
3736454,3,1114,32,10514,2,40,29,35648
3736602,5,61,32,10515,2,40,29,1952
3736829,3,4877,64,10516,2,80,58,312128
3737210,3,46,32,10517,2,40,29,1472
3737300,4,686,32,10518,2,40,29,21952
3737383,4,55,32,10519,2,40,29,1760
3737697,8486,3565,128,10520,2,160,116,456320
3737725,4,2244,32,10521,1,32,32,71808
3738102,7,34,32,10522,2,40,29,1088
3738120,7,836,32,10523,2,40,29,26752
3738215,4,770,32,10524,2,40,29,24640
3738250,3,100,32,10525,1,32,32,3200
3738369,3,20,32,10526,2,40,29,640
3738408,4,51,32,10527,2,40,29,1632
3738698,4,46,32,10528,2,40,29,1472
3738754,3,7674,32,10529,2,40,29,245568
3739021,3,1149,32,10530,2,40,29,36768
3739029,2,38,32,10531,2,40,29,1216
3739104,4,806,32,10532,2,40,29,25792
3739321,3,1463,32,10533,2,40,29,46816
3739327,2,4246,64,10534,2,80,58,271744
3739383,7,61,32,10535,1,32,32,1952
3739887,4,33,32,10536,2,40,29,1056
3739931,3,40,32,10537,2,40,29,1280
3740052,4,896,32,10538,2,40,29,28672
3740092,3,507,32,10539,2,40,29,16224
3740100,3,57,32,10540,2,40,29,1824
3740169,6,48,32,10541,2,40,29,1536
3740183,4,988,512,10542,2,640,461,505856
3740279,4,6641,32,10543,2,40,29,212512
3740311,4,63,32,10544,1,32,32,2016
3740330,4,14,32,10545,2,40,29,448
3740449,4,55,32,10546,2,40,29,1760
3740799,4,993,32,10547,2,40,29,31776
3740809,9,2371,64,10548,2,80,58,151744
3740939,4,518,32,10549,2,40,29,16576
3740951,4,53,32,10550,2,40,29,1696
3741103,3,656,32,10551,1,32,32,20992
3741522,4,36,32,10552,2,40,29,1152
3741583,3,1351,32,10553,2,40,29,43232
3741596,2,67,32,10554,1,32,32,2144
3741656,4,38,32,10555,2,40,29,1216
3741706,5,128,64,10556,2,80,58,8192
3741804,4,46,32,10557,2,40,29,1472
3741843,4,522,32,10558,2,40,29,16704
3741862,3,1549,32,10559,2,40,29,49568
3741898,3,104,32,10560,2,40,29,3328
3741985,3,124,128,10561,2,160,116,15872
3742014,4,184,32,10562,2,40,29,5888
3742073,4,349,32,10563,2,40,29,11168
3742344,4,769,32,10564,2,40,29,24608
3742475,4,14196,32,10565,2,40,29,454272
3742514,3,698,32,10566,2,40,29,22336
3742520,2,692,32,10567,2,40,29,22144
3742668,4,286,32,10568,2,40,29,9152
3742958,4,4276,32,10569,2,40,29,136832
3742979,3,1346,32,10570,2,40,29,43072
3742985,4,1071,32,10571,2,40,29,34272
3743038,4,244,32,10572,2,40,29,7808
3743047,241,57,32,10573,2,40,29,1824
3743400,5,3486,32,10574,2,40,29,111552
3743441,5,942,32,10575,2,40,29,30144
3743526,3,2619,64,10576,2,80,58,167616
3743571,5,309,32,10577,2,40,29,9888
3743594,3,75,32,10578,2,40,29,2400
3743918,3,382,32,10579,2,40,29,12224
3744026,22,3625,32,10580,2,40,29,116000
3744146,3,3513,32,10581,2,40,29,112416
3744175,2,4175,128,10582,2,160,116,534400
3744210,4,73,32,10583,2,40,29,2336
3744433,4,1598,32,10584,2,40,29,51136
3744453,3,12275,32,10585,2,40,29,392800
3744522,3,1470,32,10586,2,40,29,47040
3744758,6,1213,32,10587,2,40,29,38816
3744773,2,108,32,10588,2,40,29,3456
3744794,3,75,32,10589,2,40,29,2400
3744946,1242,10340,128,10590,2,160,116,1323520
3745193,4,71,32,10591,2,40,29,2272
3745428,7,111,32,10592,2,40,29,3552
3745799,4,1935,32,10593,2,40,29,61920
3745822,3,131,32,10594,2,40,29,4192
3745920,972,46,32,10595,2,40,29,1472
3746117,4,2743,64,10596,2,80,58,175552
3746249,4,958,32,10597,2,40,29,30656
3746411,4,10113,128,10598,2,160,116,1294464
3746616,10,63,64,10599,1,64,64,4032
3746667,6,28,32,10600,2,40,29,896
3746889,7,281,512,10601,2,640,461,143872
3746919,7,92,32,10602,2,40,29,2944
3746972,6,2264,32,10603,2,40,29,72448
3747026,4,1012,32,10604,2,40,29,32384
3747293,4,791,512,10605,1,512,512,404992
3747333,4,34,32,10606,2,40,29,1088
3747364,3,9306,32,10607,2,40,29,297792
3747384,291,805,32,10608,2,40,29,25760
3747404,4,1596,32,10609,2,40,29,51072
3747457,343,344,32,10610,2,40,29,11008
3747592,2157,92,128,10611,2,160,116,11776
3747687,2,188,64,10612,2,80,58,12032
3747774,15,248,64,10613,2,80,58,15872
3747812,9,571,32,10614,2,40,29,18272
3747926,6,1308,32,10615,2,40,29,41856
3747935,2,220,64,10616,2,80,58,14080
3748150,3,77,32,10617,2,40,29,2464
3748159,4,8511,32,10618,2,40,29,272352
3748366,6,358,64,10619,2,80,58,22912
3748384,2,83,32,10620,2,40,29,2656
3748405,1438,6684,128,10621,2,160,116,855552
3748489,10,510,32,10622,2,40,29,16320
3748594,7,67,32,10623,2,40,29,2144
3748745,5,1145,256,10624,2,320,231,293120
3748754,4,7972,32,10625,2,40,29,255104
