S_ime,R_time,Processors,Sigma
0.000000,8497.339534,2,0.245417
773.134487,70.963555,2,0.972174
1265.885217,18009.100135,3,0.560986
2278.600139,123205.228198,10,0.880554
4086.643386,31.017399,13,0.752653
5048.676575,7.175732,8,0.453731
12245.416738,431.726863,10,0.464040
16054.345985,9.924151,19,1.134929
20929.198805,2115.852686,3,1.169688
23983.690366,759.758628,9,0.146437
30917.663988,123981.272674,2,1.691955
32382.952507,32227.446102,3,0.438828
40942.538563,1554.068799,3,1.433392
42469.990420,34.790836,25,0.879695
47758.830960,231593.482555,3,1.075416
47919.237303,8.371296,28,0.968447
50175.978524,73573.783163,45,1.274554
64607.713421,580.758792,3,0.512425
74407.543608,1191.782551,2,0.774593
75953.615254,15.790373,4,0.994014
89182.623619,338025.845896,5,0.565415
90506.171845,97.626799,7,1.111541
93047.526272,40.193890,7,1.013811
109493.687760,7159.558649,3,0.551172
110581.444172,907.507948,3,1.697329
115152.662261,9267.474527,46,1.433619
118780.122520,162331.529208,45,1.691546
124908.005029,14259.826720,4,1.469098
139399.772593,294.110050,5,1.027437
147927.927069,6152.196136,6,0.756208
155530.056557,36.135244,3,0.916120
172211.044496,414367.078653,13,1.901678
174095.164882,1147.389420,5,1.185098
178357.732144,606597.185863,40,1.472275
193299.188971,171760.178542,51,0.797668
194516.820122,8790.048867,35,0.352298
196446.129982,660.576630,2,1.819047
205455.204893,1474723.657415,19,1.529392
211947.956526,1467.068005,4,1.235920
214492.755980,5.012044,46,0.954853
217601.375451,4421.403852,11,0.946808
218323.955091,101.573043,8,1.426432
222233.908394,657.544150,30,1.163059
224242.740902,88704.456986,3,0.722286
234106.586203,18274.016427,53,0.909749
234162.530106,5.991726,4,1.810925
248393.775737,1280.596086,2,1.231706
248514.841231,2330.344159,2,0.946907
251084.053463,1131048.287483,12,0.818877
251727.748988,8.287455,3,0.233691
253131.107357,97.479011,2,1.403179
258933.785495,44089.009658,24,1.175320
265132.706259,22681.200307,2,0.668241
265433.672094,222.363275,22,0.205654
265794.791062,46932.470016,19,1.017181
273394.463327,637.407869,3,0.915404
275804.490709,54.553556,23,1.345087
279630.630467,2423571.757830,13,0.425924
287610.786265,2926.886151,3,0.455021
291343.009570,30.980894,2,0.407656
291740.233078,19.003666,56,1.257874
304792.680687,358184.102094,2,0.493794
307911.022464,456305.579295,9,0.563694
312190.534063,87825.807328,9,0.035886
324848.388233,58.860262,7,0.568106
331135.301900,102436.211331,13,0.832186
331759.969475,330.471445,2,1.691556
333309.615459,1008987.580273,29,1.511337
344271.986706,157.304765,2,1.227968
347186.933175,4.648143,4,0.121882
353800.862277,19.998485,3,1.414277
355512.611561,2627183.526319,3,0.629308
365658.047934,45.102172,22,0.427123
367365.508084,1467844.884791,54,1.027640
377815.284544,16732.387747,60,0.278341
380748.323594,44402.264448,4,1.712024
386401.550433,14.897064,41,1.157831
392161.331724,155.609916,29,0.959988
399876.902671,13685.296682,28,1.891246
400764.136146,25681.739802,24,1.581026
404567.399249,922679.505773,27,0.885978
423675.258799,2946618.954497,22,0.572462
427164.109786,12866.055784,56,0.757459
428342.647411,42354.933844,7,1.185723
441865.994082,202484.141858,25,1.713812
444425.664860,44722.254733,6,0.710195
447248.347646,250487.805501,6,0.695554
451282.254192,500.088348,3,0.355732
462599.203777,32578.058268,3,0.126131
466661.247510,402127.920681,22,1.802042
467167.150704,1990021.657177,3,1.350623
467228.565646,125.162596,9,0.768849
467256.884408,1553606.620721,7,0.770026
469026.300404,282912.446831,16,1.895184
474662.178284,5.756886,17,1.144815
476288.666855,3.393693,55,0.904089
480761.890771,411.192156,38,1.286641
482541.926075,19314.835357,4,0.415640
482944.658787,49.788776,55,0.719516
489619.596718,6.593878,6,1.836625
493953.709262,78.529048,2,0.166314
502901.399737,204614.137365,30,0.240369
504470.502318,4222.469131,13,1.200216
506688.609742,182.412846,28,1.866996
507715.197129,433028.367737,19,1.545461
513739.265633,4.476622,4,1.406888
520060.869832,15.115639,3,0.652518
520114.270688,2623.891532,2,1.610492
526851.291714,4832.683706,2,1.718889
532853.205135,2935.157923,6,0.178815
533208.451824,818288.101286,4,1.270798
536626.477971,1198408.389873,19,1.537425
538744.996389,5.524463,23,1.661708
539011.696684,267802.318947,36,1.894263
542764.609780,48.346838,2,1.187584
548867.265588,684571.640795,11,1.429058
548948.600050,23373.999037,39,0.533884
551874.020367,124112.240966,3,0.504515
552733.762067,827799.261888,12,1.173217
552998.224496,4998.773582,10,1.609732
561472.873332,127.544595,17,0.667556
562947.479811,16966.396815,23,0.589601
564502.870818,143.760450,60,1.210572
571090.553116,26.131653,4,0.936863
571925.146376,215.574133,4,0.841331
587552.064212,500.788016,6,1.186498
588022.328293,134688.184048,7,1.178353
593820.246782,291.811787,21,0.114549
607446.878433,165195.493317,43,0.085210
611384.302080,203.233367,10,1.515292
611614.152344,12755.278665,2,0.526609
611747.018095,206.793346,6,0.801925
614563.450950,221.517106,17,0.010973
615827.040461,228.633575,3,0.997096
616612.065064,7262.872392,2,1.508692
619587.636225,49.766663,44,0.182039
621491.377258,5.624603,11,1.514349
624140.199137,77076.942242,13,1.944321
627432.155401,5090.727289,7,0.358066
632725.665296,1670269.545084,35,1.134629
640118.775003,1019.553642,2,0.750742
642509.632366,1077520.434039,5,1.040395
647863.186808,47.201629,2,1.791970
652802.807024,2318.174422,18,1.955685
653791.864171,2671.856965,61,0.516027
656940.595146,12138.354707,14,0.756020
670001.805734,12426.254437,12,0.160551
671361.666051,46538.711876,42,0.266512
671846.119047,2023.117372,6,1.924435
676744.643939,283.074417,34,0.107491
682752.195069,543577.113117,28,0.557696
686545.099782,216515.443817,21,0.160744
687109.629590,24.114726,26,0.950369
688477.623172,76.348155,47,1.302074
698158.311192,6906.814539,33,1.102341
706063.888441,1061791.694195,34,0.084107
715322.520528,318.027333,34,1.889171
715457.918641,844.019460,6,1.398285
717946.298406,10991.079275,15,0.767232
718650.455691,21.008812,4,1.580859
720653.853664,1219367.299839,5,0.997981
721352.995757,49218.915505,6,1.426383
726195.262372,495602.814351,2,0.431945
728013.467971,41.360170,3,0.217967
729756.822522,58625.576313,8,0.673055
732742.642337,50.201854,3,1.683908
750745.452845,3419.943198,47,0.746535
755205.672306,84.699152,19,1.603402
759187.135359,33.655157,30,1.038666
761476.961156,55.059164,12,1.682370
765213.380390,5597.802742,2,1.889181
775465.620955,2659.981380,2,0.715402
788219.911092,616.416494,33,1.992334
789063.441276,764.353911,64,1.090594
789314.351381,2804321.617330,5,1.535675
790633.315430,722.437092,20,0.685096
806936.445888,229711.545196,26,0.129779
809003.977550,41.096060,3,1.473350
811740.707390,235290.689173,48,0.817055
813591.821372,97.440565,3,1.363897
818012.362156,19629.019540,27,1.559520
824027.772526,5753.076228,28,0.021056
841207.101954,5.720535,19,1.614865
845131.959343,1876.917190,4,1.381279
845954.177826,115.591692,2,1.549033
846941.956928,1792.742367,47,0.045622
848570.533101,1158.514442,25,1.003634
857146.506181,188485.332405,23,1.936063
859346.520609,3180823.662372,35,0.666990
859531.374007,158590.585551,4,0.525038
863246.501443,13.471693,22,0.957994
867653.221965,184.806251,5,0.656640
871206.401953,5.649957,23,0.516070
871427.490034,1212.514155,5,1.415648
880809.296750,368.538536,6,1.998056
888615.192239,1927556.219168,7,0.943764
888945.307641,1426431.573602,4,1.340899
896474.295260,8.781533,20,1.114944
912904.645541,5.356610,7,1.565244
912912.516033,86237.615654,21,0.680940
922863.115795,2644.338373,27,1.057981
926542.059830,79060.673926,7,1.867617
928479.543730,526532.674928,2,0.011812
931287.007442,64.771782,13,0.559102
950010.942667,237.691606,31,0.945910
960405.175856,2103.242518,33,1.702558
966607.748662,2562293.450521,4,0.148660
967784.449291,5958.587886,3,0.470668
971720.066770,918820.736560,5,1.184629
972303.037263,26.292322,2,1.008296
972743.374315,4498.187645,23,1.468343
973555.108624,429603.199154,8,1.365881
979754.018157,2006587.204751,18,1.163600
987657.832372,501.975104,12,0.885899
1001007.777434,716349.832082,9,0.828542
1005177.730216,199.995992,15,1.125032
1017874.155745,2261.161880,4,1.650180
1023287.079107,34408.978881,2,1.603205
1024567.366447,9.615722,4,0.915599
1029580.115953,27790.167603,2,1.889875
1031785.987809,3.472336,62,0.299584
1035444.685656,9099.495814,21,0.226238
1038526.713556,40.966306,13,1.730702
1039460.155857,46.159897,18,1.782529
1055125.696880,29486.335218,2,0.722194
1056551.201031,67197.338869,26,1.562786
1057199.165825,1013.966147,17,1.733786
1068443.939944,342.467252,2,1.655176
1074600.512990,451.540394,15,1.800806
1076673.180469,73423.390118,6,0.681119
1080913.395759,602.538428,4,1.005655
1085419.919693,97.455437,7,0.349427
1095470.043035,6.083423,7,1.609079
1114815.039484,876159.124640,3,0.329314
1116476.456580,1547.290598,2,0.708647
1122065.592737,3.418396,2,1.484383
1123849.658415,28.945641,21,1.948547
1127508.575309,534.896989,46,1.873872
