S_ime,R_time,Processors,Sigma
0,8497.339534,2,0.245417
773.134487,70.963555,2,0.972174
1265.885217,18009.10014,3,0.560986
2278.600139,123205.2282,10,0.880554
4086.643386,31.017399,13,0.752653
5048.676575,7.175732,8,0.453731
12245.41674,431.726863,10,0.46404
16054.34599,9.924151,19,1.134929
20929.19881,2115.852686,3,1.169688
23983.69037,759.758628,9,0.146437
30917.66399,123981.2727,2,1.691955
32382.95251,32227.4461,3,0.438828
40942.53856,1554.068799,3,1.433392
42469.99042,34.790836,25,0.879695
47758.83096,231593.4826,3,1.075416
47919.2373,8.371296,28,0.968447
50175.97852,73573.78316,45,1.274554
64607.71342,580.758792,3,0.512425
74407.54361,1191.782551,2,0.774593
75953.61525,15.790373,4,0.994014
89182.62362,338025.8459,5,0.565415
90506.17185,97.626799,7,1.111541
93047.52627,40.19389,7,1.013811
109493.6878,7159.558649,3,0.551172
110581.4442,907.507948,3,1.697329
115152.6623,9267.474527,46,1.433619
118780.1225,162331.5292,45,1.691546
124908.005,14259.82672,4,1.469098
139399.7726,294.11005,5,1.027437
147927.9271,6152.196136,6,0.756208
155530.0566,36.135244,3,0.91612
172211.0445,414367.0787,13,1.901678
174095.1649,1147.38942,5,1.185098
178357.7321,606597.1859,40,1.472275
193299.189,171760.1785,51,0.797668
194516.8201,8790.048867,35,0.352298
196446.13,660.57663,2,1.819047
205455.2049,1474723.657,19,1.529392
211947.9565,1467.068005,4,1.23592
214492.756,5.012044,46,0.954853
217601.3755,4421.403852,11,0.946808
218323.9551,101.573043,8,1.426432
222233.9084,657.54415,30,1.163059
224242.7409,88704.45699,3,0.722286
234106.5862,18274.01643,53,0.909749
234162.5301,5.991726,4,1.810925
248393.7757,1280.596086,2,1.231706
248514.8412,2330.344159,2,0.946907
251084.0535,1131048.287,12,0.818877
251727.749,8.287455,3,0.233691
253131.1074,97.479011,2,1.403179
258933.7855,44089.00966,24,1.17532
265132.7063,22681.20031,2,0.668241
265433.6721,222.363275,22,0.205654
265794.7911,46932.47002,19,1.017181
273394.4633,637.407869,3,0.915404
275804.4907,54.553556,23,1.345087
279630.6305,2423571.758,13,0.425924
287610.7863,2926.886151,3,0.455021
291343.0096,30.980894,2,0.407656
291740.2331,19.003666,56,1.257874
304792.6807,358184.1021,2,0.493794
307911.0225,456305.5793,9,0.563694
