S_ime,R_time,Processors,Sigma
0,8497.339534,2,0.245417
1546.268975,70.963555,2,0.972174
2531.770434,18009.10014,3,0.560986
4557.200278,123205.2282,7,0.880554
8173.286771,31.017399,9,0.752653
10097.35315,7.175732,6,0.453731
24490.83348,431.726863,7,0.46404
32108.69197,9.924151,12,1.134929
41858.39761,2115.852686,2,1.169688
47967.38073,759.758628,6,0.146437
61835.32798,123981.2727,2,1.691955
64765.90502,32227.4461,3,0.438828
81885.07713,1554.068799,3,1.433392
84939.98084,34.790836,15,0.879695
95517.66192,231593.4826,3,1.075416
95838.47461,8.371296,16,0.968447
100351.957,73573.78316,24,1.274554
129215.4268,580.758792,3,0.512425
148815.0872,1191.782551,2,0.774593
151907.2305,15.790373,4,0.994014
178365.2472,338025.8459,4,0.565415
181012.3437,97.626799,5,1.111541
186095.0525,40.19389,5,1.013811
218987.3755,7159.558649,3,0.551172
221162.8883,907.507948,3,1.697329
230305.3245,9267.474527,25,1.433619
237560.245,162331.5292,24,1.691546
249816.0101,14259.82672,4,1.469098
278799.5452,294.11005,4,1.027437
295855.8541,6152.196136,4,0.756208
311060.1131,36.135244,3,0.91612
344422.089,414367.0787,9,1.901678
348190.3298,1147.38942,4,1.185098
356715.4643,606597.1859,22,1.472275
386598.3779,171760.1785,27,0.797668
389033.6402,8790.048867,20,0.352298
392892.26,660.57663,2,1.819047
410910.4098,1474723.657,12,1.529392
423895.9131,1467.068005,4,1.23592
428985.512,5.012044,24,0.954853
435202.7509,4421.403852,7,0.946808
436647.9102,101.573043,6,1.426432
444467.8168,657.54415,18,1.163059
448485.4818,88704.45699,3,0.722286
468213.1724,18274.01643,27,0.909749
468325.0602,5.991726,3,1.810925
496787.5515,1280.596086,2,1.231706
497029.6825,2330.344159,2,0.946907
502168.1069,1131048.287,8,0.818877
503455.498,8.287455,3,0.233691
506262.2147,97.479011,2,1.403179
517867.571,44089.00966,14,1.17532
530265.4125,22681.20031,2,0.668241
530867.3442,222.363275,13,0.205654
531589.5821,46932.47002,12,1.017181
546788.9267,637.407869,2,0.915404
551608.9814,54.553556,14,1.345087
559261.2609,2423571.758,9,0.425924
575221.5725,2926.886151,3,0.455021
582686.0191,30.980894,2,0.407656
583480.4662,19.003666,29,1.257874
609585.3614,358184.1021,2,0.493794
615822.0449,456305.5793,6,0.563694
624381.0681,87825.80733,6,0.035886
649696.7765,58.860262,5,0.568106
662270.6038,102436.2113,9,0.832186
663519.9389,330.471445,2,1.691556
666619.2309,1008987.58,17,1.511337
688543.9734,157.304765,2,1.227968
694373.8664,4.648143,3,0.121882
707601.7246,19.998485,3,1.414277
711025.2231,2627183.526,2,0.629308
731316.0959,45.102172,13,0.427123
734731.0162,1467844.885,28,1.02764
755630.5691,16732.38775,31,0.278341
761496.6472,44402.26445,3,1.712024
772803.1009,14.897064,22,1.157831
784322.6634,155.609916,17,0.959988
799753.8053,13685.29668,16,1.891246
801528.2723,25681.7398,15,1.581026
809134.7985,922679.5058,16,0.885978
847350.5176,2946618.954,13,0.572462
854328.2196,12866.05578,29,0.757459
856685.2948,42354.93384,6,1.185723
883731.9882,202484.1419,15,1.713812
888851.3297,44722.25473,4,0.710195
894496.6953,250487.8055,4,0.695554
902564.5084,500.088348,3,0.355732
925198.4076,32578.05827,3,0.126131
933322.495,402127.9207,13,1.802042
934334.3014,1990021.657,3,1.350623
934457.1313,125.162596,6,0.768849
934513.7688,1553606.621,5,0.770026
938052.6008,282912.4468,10,1.895184
949324.3566,5.756886,11,1.144815
952577.3337,3.393693,28,0.904089
961523.7815,411.192156,21,1.286641
965083.8521,19314.83536,3,0.41564
965889.3176,49.788776,29,0.719516
979239.1934,6.593878,5,1.836625
987907.4185,78.529048,2,0.166314
1005802.799,204614.1374,17,0.240369
